Time,Azide_1,Azide_2,Type,value
0.0,kArg,kArg,Click,1.7873999999999999
0.15,kArg,kArg,Click,1.9043999999999999
0.31666666666666665,kArg,kArg,Click,1.9223
0.48333333333333334,kArg,kArg,Click,1.9211
0.65,kArg,kArg,Click,1.9154999999999998
0.8166666666666667,kArg,kArg,Click,1.9087999999999998
0.9833333333333333,kArg,kArg,Click,1.8988999999999998
1.15,kArg,kArg,Click,1.8903999999999999
1.3166666666666667,kArg,kArg,Click,1.88
1.4833333333333334,kArg,kArg,Click,1.8673
1.65,kArg,kArg,Click,1.8569
1.8,kArg,kArg,Click,1.8444999999999998
1.9666666666666666,kArg,kArg,Click,1.8327
2.1333333333333333,kArg,kArg,Click,1.8229
2.3,kArg,kArg,Click,1.8115999999999999
2.466666666666667,kArg,kArg,Click,1.7968
2.6333333333333333,kArg,kArg,Click,1.7831
2.8,kArg,kArg,Click,1.7703
2.966666666666667,kArg,kArg,Click,1.759
3.1333333333333333,kArg,kArg,Click,1.7413999999999998
3.3,kArg,kArg,Click,1.7262
3.466666666666667,kArg,kArg,Click,1.7086999999999999
3.6333333333333333,kArg,kArg,Click,1.6946999999999999
3.783333333333333,kArg,kArg,Click,1.6719
3.95,kArg,kArg,Click,1.6514
4.116666666666666,kArg,kArg,Click,1.6318
4.283333333333333,kArg,kArg,Click,1.6089
4.45,kArg,kArg,Click,1.5838999999999999
4.616666666666666,kArg,kArg,Click,1.5634
4.783333333333333,kArg,kArg,Click,1.5317999999999998
4.95,kArg,kArg,Click,1.5063
5.116666666666666,kArg,kArg,Click,1.4713999999999998
5.283333333333333,kArg,kArg,Click,1.4431999999999998
5.45,kArg,kArg,Click,1.4136
5.616666666666666,kArg,kArg,Click,1.3924999999999998
5.766666666666667,kArg,kArg,Click,1.3669
5.933333333333334,kArg,kArg,Click,1.355
6.1,kArg,kArg,Click,1.3258999999999999
6.266666666666667,kArg,kArg,Click,1.2928
6.433333333333334,kArg,kArg,Click,1.257
6.6,kArg,kArg,Click,1.2233999999999998
6.766666666666667,kArg,kArg,Click,1.1844
6.933333333333334,kArg,kArg,Click,1.1554
7.1,kArg,kArg,Click,1.1258
7.266666666666667,kArg,kArg,Click,1.0935
7.433333333333334,kArg,kArg,Click,1.065
7.583333333333333,kArg,kArg,Click,1.0392
7.75,kArg,kArg,Click,1.018
7.916666666666667,kArg,kArg,Click,1.0035999999999998
8.083333333333334,kArg,kArg,Click,0.9881000000000001
8.25,kArg,kArg,Click,0.9705
